,name,year,county,time,humans,seed,sheep,lynx,wolf,predators,popst,red_fox,north,east,habitat1,habitat2
159,Koppar,36,6,9,4.6,2184,4013,0.855,1.842,2.697,"139,538",7.3,696,221,-5.0056477,-2.88665074
160,Varm,36,7,9,9.6,4546,3456,1.908,3.353,5.261,"186,783",34.8,564,140,-3.511004297,-2.628673034
161,Upps,36,8,9,11.8,7720,8312,2.221,1.804,4.025,"84,777",36.8,588,422,3.657268978,-0.911660981
162,Vastml,36,9,9,13.8,6313,5168,5.594,3.629,9.223,"91,461",57.8,557,337,3.154624876,-0.893471208
163,Stock,36,10,9,28.1,8365,10194,0.736,2.062,2.798,"190,753",1.9,519,453,3.657268978,-0.911660981
164,Orebro,36,11,9,13,4750,5307,0,0.535,0.535,"121,530",8.1,499,254,1.462591827,-1.005609686
165,Soderml,36,12,9,16.9,5743,9081,2.725,3.179,5.904,"111,833",10.3,463,361,3.657268978,-0.911660981
166,Skara,36,13,9,21.3,17199,13207,0.365,1.946,2.311,"175,175",17,382,170,0,0
167,Alvsb,36,14,9,17,9538,6704,0,0.404,0.404,"210,259",8.6,352,101,3.657268978,-0.911660981
168,Goteborg,36,15,9,29.5,13139,12924,0.376,0.564,0.94,"157,012",9.4,381,44,1.396316619,2.887332404
169,Ostergl,36,16,9,16.9,7642,6734,1.288,3.177,4.465,"197,045",61.8,375,302,3.657268978,-0.911660981
170,Kalmar,36,17,9,14.9,6631,8033,0,1.197,1.197,"174,011",61,237,323,3.657268978,-0.911660981
171,Jonk,36,18,9,13.5,8201,8914,0.934,1.775,2.709,"144,853",65,269,217,3.657268978,-0.911660981
172,Halland,36,19,9,16.3,11172,9653,0,0,0,"93,355",18.4,208,107,1.05374808,3.462937462
173,Kronob,36,20,9,12.1,5068,7553,0.742,5.515,6.257,"114,156",80.7,184,224,3.657268978,-0.911660981
174,Kristian,36,21,9,25,13607,12568,0,0.475,0.475,"157,933",80.9,103,170,-3.194101806,10.60044019
175,Blek,36,22,9,29.7,10270,10880,0.655,0.327,0.982,"90,801",97.2,120,263,2.835104484,0.469791159
176,Malmo,36,23,9,41.5,25635,13482,0,0,0,"209,584",14.8,58,136,-3.194101806,10.60044019
177,Norrb,37,1,10,0.4,171,358,0.009,0.274,0.283,"45,356",1.8,1439,513,-5.108696594,-3.057622193
178,Vasterb,37,2,10,0.9,242,624,0.084,0.034,0.118,"53,144",13.1,1179,415,-5.309734561,-3.355977912
179,Jamt,37,3,10,0.8,233,1306,0.055,0.758,0.813,"44,239",1.4,976,222,-4.993817756,-2.887133211
